科目コード,法人番号,親科目コード,名称,階層,概念コード
L-8080105000129-0001,8080105000129,BS-A-CUR-T,現金預金,1,LC-00001
L-8080105000129-0002,8080105000129,BS-A-CUR-T,定期預金,1,LC-00002
L-8080105000129-0003,8080105000129,BS-A-CUR-T,事業未収金,1,LC-00003
L-8080105000129-0004,8080105000129,BS-A-CUR-T,未収金,1,LC-00004
L-8080105000129-0005,8080105000129,BS-A-CUR-T,未収補助金,1,LC-00005
L-8080105000129-0006,8080105000129,BS-A-CUR-T,立替金,1,LC-00006
L-8080105000129-0007,8080105000129,BS-A-CUR-T,前払費用,1,LC-00007
L-8080105000129-0008,8080105000129,BS-A-CUR-T,１年以内回収予定社会福祉連携推進業務長期貸付金,1,LC-00008
L-8080105000129-0009,8080105000129,BS-A-CUR-T,社会福祉連携推進業務短期貸付金,1,LC-00009
L-8080105000129-0010,8080105000129,BS-A-CUR-T,短期貸付金,1,LC-00010
L-8080105000129-0011,8080105000129,BS-A-CUR-T,事業区分間貸付金,1,LC-00011
L-8080105000129-0012,8080105000129,BS-A-CUR-T,拠点区分間貸付金,1,LC-00012
L-8080105000129-0013,8080105000129,BS-A-CUR-T,仮払金,1,LC-00013
L-8080105000129-0014,8080105000129,BS-A-CUR-T,その他の流動資産,1,LC-00014
L-8080105000129-0015,8080105000129,BS-A-CUR-T,貸倒引当金,1,LC-00015
L-8080105000129-0016,8080105000129,BS-A-FIX-BASE-T,土地,1,LC-00016
L-8080105000129-0017,8080105000129,BS-A-FIX-BASE-T,建物,1,LC-00017
L-8080105000129-0018,8080105000129,BS-A-FIX-BASE-T,定期預金,1,LC-00018
L-8080105000129-0019,8080105000129,BS-A-FIX-OTH-210,車輛購入積立資産,1,LC-00019
L-8080105000129-0020,8080105000129,BS-A-FIX-OTH-210,工賃変動積立資産,1,LC-00020
L-8080105000129-0021,8080105000129,BS-A-FIX-OTH-210,備品積立資産,1,LC-00021
L-8080105000129-0022,8080105000129,BS-A-FIX-OTH-210,施設整備積立資産,1,LC-00022
L-8080105000129-0023,8080105000129,BS-A-FIX-OTH-210,土地,1,LC-00023
L-8080105000129-0024,8080105000129,BS-A-FIX-OTH-210,建物,1,LC-00024
L-8080105000129-0025,8080105000129,BS-A-FIX-OTH-210,構築物,1,LC-00025
L-8080105000129-0026,8080105000129,BS-A-FIX-OTH-210,機械及び装置,1,LC-00026
L-8080105000129-0027,8080105000129,BS-A-FIX-OTH-210,車輌運搬具,1,LC-00027
L-8080105000129-0028,8080105000129,BS-A-FIX-OTH-210,器具及び備品,1,LC-00028
L-8080105000129-0029,8080105000129,BS-A-FIX-OTH-210,建設仮勘定,1,LC-00029
L-8080105000129-0030,8080105000129,BS-A-FIX-OTH-210,有形リース資産,1,LC-00030
L-8080105000129-0031,8080105000129,BS-A-FIX-OTH-210,権利,1,LC-00031
L-8080105000129-0032,8080105000129,BS-A-FIX-OTH-210,ソフトウェア,1,LC-00032
L-8080105000129-0033,8080105000129,BS-A-FIX-OTH-210,社会福祉連携推進業務長期貸付金,1,LC-00033
L-8080105000129-0034,8080105000129,BS-A-FIX-OTH-210,退職給付引当資産,1,LC-00034
L-8080105000129-0035,8080105000129,BS-A-FIX-OTH-210,移行時特別積立資産,1,LC-00035
L-8080105000129-0036,8080105000129,BS-A-FIX-OTH-210,修繕積立資産,1,LC-00036
L-8080105000129-0037,8080105000129,BS-A-FIX-OTH-210,就労設備等積立資産,1,LC-00037
L-8080105000129-0038,8080105000129,BS-A-FIX-OTH-210,長期前払費用,1,LC-00038
L-8080105000129-0039,8080105000129,BS-A-FIX-OTH-210,その他の固定資産,1,LC-00039
L-8080105000129-0040,8080105000129,BS-A-FIX-OTH-210,貸倒引当金,1,LC-00040
L-8080105000129-0041,8080105000129,BS-L-CUR-T,短期運営資金借入金,1,LC-00041
L-8080105000129-0042,8080105000129,BS-L-CUR-T,事業未払金,1,LC-00042
L-8080105000129-0043,8080105000129,BS-L-CUR-T,その他の未払金,1,LC-00043
L-8080105000129-0044,8080105000129,BS-L-CUR-T,社会福祉連携推進業務短期運営資金借入金,1,LC-00044
L-8080105000129-0045,8080105000129,BS-L-CUR-T,１年以内返済予定社会福祉連携推進業務設備資金借入金,1,LC-00045
L-8080105000129-0046,8080105000129,BS-L-CUR-T,１年以内返済予定設備資金借入金,1,LC-00046
L-8080105000129-0047,8080105000129,BS-L-CUR-T,１年以内返済予定社会福祉連携推進業務長期運営資金借入金,1,LC-00047
L-8080105000129-0048,8080105000129,BS-L-CUR-T,１年以内返済予定リース債務,1,LC-00048
L-8080105000129-0049,8080105000129,BS-L-CUR-T,未払費用,1,LC-00049
L-8080105000129-0050,8080105000129,BS-L-CUR-T,預り金,1,LC-00050
L-8080105000129-0051,8080105000129,BS-L-CUR-T,職員預り金,1,LC-00051
L-8080105000129-0052,8080105000129,BS-L-CUR-T,前受金,1,LC-00052
L-8080105000129-0053,8080105000129,BS-L-CUR-T,事業区分間借入金,1,LC-00053
L-8080105000129-0054,8080105000129,BS-L-CUR-T,拠点区分間借入金,1,LC-00054
L-8080105000129-0055,8080105000129,BS-L-CUR-T,仮受金,1,LC-00055
L-8080105000129-0056,8080105000129,BS-L-CUR-T,賞与引当金,1,LC-00056
L-8080105000129-0057,8080105000129,BS-L-CUR-T,その他の流動負債,1,LC-00057
L-8080105000129-0058,8080105000129,BS-L-FIX-T,社会福祉連携推進業務設備資金借入金,1,LC-00058
L-8080105000129-0059,8080105000129,BS-L-FIX-T,設備資金借入金,1,LC-00059
L-8080105000129-0060,8080105000129,BS-L-FIX-T,社会福祉連携推進業務長期運営資金借入金,1,LC-00060
L-8080105000129-0061,8080105000129,BS-L-FIX-T,リース債務,1,LC-00061
L-8080105000129-0062,8080105000129,BS-L-FIX-T,退職給付引当金,1,LC-00062
L-8080105000129-0063,8080105000129,BS-L-FIX-T,その他の固定負債,1,LC-00063
L-8080105000129-0064,8080105000129,BS-N-OTH-T,移行時特別積立金,1,LC-00064
L-8080105000129-0065,8080105000129,BS-N-OTH-T,修繕積立金,1,LC-00065
L-8080105000129-0066,8080105000129,BS-N-OTH-T,就労設備等積立金,1,LC-00066
L-8080105000129-0067,8080105000129,BS-N-OTH-T,車輛購入積立金,1,LC-00067
L-8080105000129-0068,8080105000129,BS-N-OTH-T,工賃変動積立金,1,LC-00068
L-8080105000129-0069,8080105000129,BS-N-OTH-T,備品積立金,1,LC-00069
L-8080105000129-0070,8080105000129,BS-N-OTH-T,施設整備積立金,1,LC-00070
L-8080105000129-0071,8080105000129,CF-A-EXP-030,賃借料支出,1,LC-00071
L-8080105000129-0072,8080105000129,CF-A-EXP-030,土地・建物賃借料支出,1,LC-00072
L-8080105000129-0073,8080105000129,CF-A-EXP-030,租税公課支出,1,LC-00073
L-8080105000129-0074,8080105000129,CF-A-EXP-030,保守料支出,1,LC-00074
L-8080105000129-0075,8080105000129,CF-A-EXP-030,渉外費支出,1,LC-00075
L-8080105000129-0076,8080105000129,CF-A-EXP-030,諸会費支出,1,LC-00076
L-8080105000129-0077,8080105000129,CF-A-EXP-030,雑支出,1,LC-00077
L-8080105000129-0078,8080105000129,CF-A-EXP-040,就労支援事業販売原価支出,1,LC-00078
L-8080105000129-0081,8080105000129,CF-A-EXP-070,利用者等外給食費支出,1,LC-00081
L-8080105000129-0082,8080105000129,CF-A-EXP-070,法人税、住民税及び事業税支出,1,LC-00082
L-8080105000129-0083,8080105000129,CF-A-EXP-070,雑支出,1,LC-00083
L-8080105000129-0084,8080105000129,CF-A-EXP-070,雑支出（雑費）,1,LC-00084
L-8080105000129-0085,8080105000129,CF-A-EXP-080,貸倒損失額,1,LC-00085
L-8080105000129-0086,8080105000129,CF-A-EXP-080,徴収不能額,1,LC-00086
L-8080105000129-0087,8080105000129,CF-B-INC-010,施設整備等補助金収入,1,LC-00087
L-8080105000129-0088,8080105000129,CF-B-INC-010,設備資金借入金元金償還補助金収入,1,LC-00088
L-8080105000129-0089,8080105000129,CF-B-INC-030,車輌運搬具売却収入,1,LC-00089
L-8080105000129-0090,8080105000129,CF-B-INC-040,その他の施設整備等による収入,1,LC-00090
L-8080105000129-0091,8080105000129,CF-B-EXP-030,土地取得支出,1,LC-00091
L-8080105000129-0092,8080105000129,CF-B-EXP-030,建物取得支出,1,LC-00092
L-8080105000129-0093,8080105000129,CF-B-EXP-030,車輌運搬具取得支出,1,LC-00093
L-8080105000129-0094,8080105000129,CF-B-EXP-030,器具及び備品取得支出,1,LC-00094
L-8080105000129-0095,8080105000129,CF-B-EXP-030,構築物取得支出,1,LC-00095
L-8080105000129-0096,8080105000129,CF-B-EXP-030,ソフトウェア取得支出,1,LC-00096
L-8080105000129-0097,8080105000129,CF-B-EXP-030,建物付属設備取得支出,1,LC-00097
L-8080105000129-0098,8080105000129,CF-B-EXP-030,その他の固定資産取得支出,1,LC-00098
L-8080105000129-0099,8080105000129,CF-B-EXP-060,その他の施設整備等による支出,1,LC-00099
L-8080105000129-0100,8080105000129,CF-C-INC-040,退職給付引当資産取崩収入,1,LC-00100
L-8080105000129-0101,8080105000129,CF-C-INC-040,移行時積立資産取崩収入,1,LC-00101
L-8080105000129-0102,8080105000129,CF-C-INC-040,修繕積立資産取崩収入,1,LC-00102
L-8080105000129-0103,8080105000129,CF-C-INC-040,就労設備積立資産取崩収入,1,LC-00103
L-8080105000129-0104,8080105000129,CF-C-INC-040,車輛購入積立資産取崩収入,1,LC-00104
L-8080105000129-0105,8080105000129,CF-C-INC-040,工賃変動積立資産取崩収入,1,LC-00105
L-8080105000129-0106,8080105000129,CF-C-INC-040,備品積立資産取崩収入,1,LC-00106
L-8080105000129-0107,8080105000129,CF-C-INC-040,施設整備積立資産取崩収入,1,LC-00107
L-8080105000129-0108,8080105000129,CF-C-EXP-030,退職給付引当資産支出,1,LC-00108
L-8080105000129-0109,8080105000129,CF-C-EXP-030,修繕積立資産支出,1,LC-00109
L-8080105000129-0110,8080105000129,CF-C-EXP-030,施設整備積立資産支出,1,LC-00110
L-8080105000129-0111,8080105000129,CF-C-EXP-030,車輛購入積立資産支出,1,LC-00111
L-8080105000129-0112,8080105000129,CF-C-EXP-030,備品積立資産支出,1,LC-00112
L-8080105000129-0113,8080105000129,CF-C-EXP-030,就労設備等積立資産支出,1,LC-00113
L-8080105000129-0114,8080105000129,CF-C-EXP-030,工賃変動積立資産支出,1,LC-00114
L-8080105000129-0079,8080105000129,L-8080105000129-0078,就労支援事業製造原価支出,2,LC-00079
L-8080105000129-0080,8080105000129,L-8080105000129-0078,就労支援事業仕入支出,2,LC-00080
