科目コード,計算書,区分,中区分,正規名,集計フラグ
CF-A-INC-010,資金収支計算書,事業活動,収入,就労支援事業収入,0
CF-A-INC-020,資金収支計算書,事業活動,収入,障害福祉サービス等事業収入,0
CF-A-INC-030,資金収支計算書,事業活動,収入,生活保護事業収入,0
CF-A-INC-040,資金収支計算書,事業活動,収入,研修センター事業収入,0
CF-A-INC-050,資金収支計算書,事業活動,収入,歯科診療所運営費収入,0
CF-A-INC-060,資金収支計算書,事業活動,収入,訓練校給食受託事業収入,0
CF-A-INC-070,資金収支計算書,事業活動,収入,経常経費補助金収入,0
CF-A-INC-080,資金収支計算書,事業活動,収入,借入金利息補助金収入,0
CF-A-INC-090,資金収支計算書,事業活動,収入,経常経費寄附金収入,0
CF-A-INC-100,資金収支計算書,事業活動,収入,受取利息配当金収入,0
CF-A-INC-110,資金収支計算書,事業活動,収入,社会福祉連携推進業務貸付金受取利息収入,0
CF-A-INC-120,資金収支計算書,事業活動,収入,その他の収入,0
CF-A-INC-130,資金収支計算書,事業活動,収入,流動資産評価益等による資金増加額,0
CF-A-INC-T,資金収支計算書,事業活動,収入,事業活動収入計,1
CF-A-EXP-010,資金収支計算書,事業活動,支出,人件費支出,0
CF-A-EXP-020,資金収支計算書,事業活動,支出,事業費支出,0
CF-A-EXP-030,資金収支計算書,事業活動,支出,事務費支出,0
CF-A-EXP-040,資金収支計算書,事業活動,支出,就労支援事業支出,0
CF-A-EXP-050,資金収支計算書,事業活動,支出,支払利息支出,0
CF-A-EXP-060,資金収支計算書,事業活動,支出,社会福祉連携推進業務借入金支払利息支出,0
CF-A-EXP-070,資金収支計算書,事業活動,支出,その他の支出,0
CF-A-EXP-080,資金収支計算書,事業活動,支出,流動資産評価損等による資金減少額,0
CF-A-EXP-T,資金収支計算書,事業活動,支出,事業活動支出計,1
CF-A-NET,資金収支計算書,事業活動,差額,事業活動資金収支差額,1
CF-B-INC-010,資金収支計算書,施設整備等,収入,施設整備等補助金収入,0
CF-B-INC-020,資金収支計算書,施設整備等,収入,社会福祉連携推進業務設備資金借入金収入,0
CF-B-INC-030,資金収支計算書,施設整備等,収入,固定資産売却収入,0
CF-B-INC-040,資金収支計算書,施設整備等,収入,その他の施設整備等による収入,0
CF-B-INC-T,資金収支計算書,施設整備等,収入,施設整備等収入計,1
CF-B-EXP-010,資金収支計算書,施設整備等,支出,設備資金借入金元金償還支出,0
CF-B-EXP-020,資金収支計算書,施設整備等,支出,社会福祉連携推進業務設備資金借入金元金償還支出,0
CF-B-EXP-030,資金収支計算書,施設整備等,支出,固定資産取得支出,0
CF-B-EXP-040,資金収支計算書,施設整備等,支出,固定資産除却・廃棄支出,0
CF-B-EXP-050,資金収支計算書,施設整備等,支出,ファイナンス・リース債務の返済支出,0
CF-B-EXP-060,資金収支計算書,施設整備等,支出,その他の施設整備等による支出,0
CF-B-EXP-T,資金収支計算書,施設整備等,支出,施設整備等支出計,1
CF-B-NET,資金収支計算書,施設整備等,差額,施設整備等資金収支差額,1
CF-C-INC-010,資金収支計算書,その他の活動,収入,長期運営資金借入金元金償還寄附金収入,0
CF-C-INC-020,資金収支計算書,その他の活動,収入,社会福祉連携推進業務長期運営資金借入金収入,0
CF-C-INC-030,資金収支計算書,その他の活動,収入,社会福祉連携推進業務長期貸付金回収収入,0
CF-C-INC-040,資金収支計算書,その他の活動,収入,積立資産取崩収入,0
CF-C-INC-045,資金収支計算書,その他の活動,収入,事業区分間繰入金収入,0
CF-C-INC-050,資金収支計算書,その他の活動,収入,その他の活動による収入,0
CF-C-INC-T,資金収支計算書,その他の活動,収入,その他の活動収入計,1
CF-C-EXP-010,資金収支計算書,その他の活動,支出,社会福祉連携推進業務長期運営資金借入金元金償還支出,0
CF-C-EXP-020,資金収支計算書,その他の活動,支出,社会福祉連携推進業務長期貸付金支出,0
CF-C-EXP-030,資金収支計算書,その他の活動,支出,積立資産支出,0
CF-C-EXP-035,資金収支計算書,その他の活動,支出,事業区分間繰入金支出,0
CF-C-EXP-040,資金収支計算書,その他の活動,支出,その他の活動による支出,0
CF-C-EXP-T,資金収支計算書,その他の活動,支出,その他の活動支出計,1
CF-C-NET,資金収支計算書,その他の活動,差額,その他の活動資金収支差額,1
CF-X-RSV,資金収支計算書,合計・残高,支出,予備費支出,0
CF-X-TOT,資金収支計算書,合計・残高,差額,当期資金収支差額合計,1
CF-X-BEG,資金収支計算書,合計・残高,残高,前期末支払資金残高,1
CF-X-END,資金収支計算書,合計・残高,残高,当期末支払資金残高,1
CF-A-INC-005,資金収支計算書,事業活動,収入,保育事業収入,0
CF-B-INC-015,資金収支計算書,施設整備等,収入,施設整備等寄附金収入,0
CF-B-INC-020b,資金収支計算書,施設整備等,収入,設備資金借入金収入,0
CF-C-INC-005,資金収支計算書,その他の活動,収入,投資有価証券売却収入,0
CF-C-INC-046,資金収支計算書,その他の活動,収入,拠点区分間繰入金収入,0
CF-C-EXP-005,資金収支計算書,その他の活動,支出,投資有価証券取得支出,0
CF-C-EXP-036,資金収支計算書,その他の活動,支出,拠点区分間繰入金支出,0
PL-S-REV-010,事業活動計算書,サービス活動増減,収益,就労支援事業収益,0
PL-S-REV-020,事業活動計算書,サービス活動増減,収益,障害福祉サービス等事業収益,0
PL-S-REV-030,事業活動計算書,サービス活動増減,収益,生活保護事業収益,0
PL-S-REV-040,事業活動計算書,サービス活動増減,収益,研修センター事業収益,0
PL-S-REV-050,事業活動計算書,サービス活動増減,収益,歯科診療所運営費収益,0
PL-S-REV-060,事業活動計算書,サービス活動増減,収益,訓練校給食受託事業収益,0
PL-S-REV-070,事業活動計算書,サービス活動増減,収益,経常経費補助金収益,0
PL-S-REV-080,事業活動計算書,サービス活動増減,収益,経常経費寄附金収益,0
PL-S-REV-090,事業活動計算書,サービス活動増減,収益,その他の収益,0
PL-S-REV-T,事業活動計算書,サービス活動増減,収益,サービス活動収益計,1
PL-S-EXP-010,事業活動計算書,サービス活動増減,費用,人件費,0
PL-S-EXP-020,事業活動計算書,サービス活動増減,費用,事業費,0
PL-S-EXP-030,事業活動計算書,サービス活動増減,費用,事務費,0
PL-S-EXP-040,事業活動計算書,サービス活動増減,費用,就労支援事業費用,0
PL-S-EXP-050,事業活動計算書,サービス活動増減,費用,減価償却費,0
PL-S-EXP-060,事業活動計算書,サービス活動増減,費用,国庫補助金等特別積立金取崩額,0
PL-S-EXP-070,事業活動計算書,サービス活動増減,費用,貸倒損失額,0
PL-S-EXP-080,事業活動計算書,サービス活動増減,費用,貸倒引当金繰入,0
PL-S-EXP-090,事業活動計算書,サービス活動増減,費用,徴収不能額,0
PL-S-EXP-100,事業活動計算書,サービス活動増減,費用,その他の費用,0
PL-S-EXP-T,事業活動計算書,サービス活動増減,費用,サービス活動費用計,1
PL-S-NET,事業活動計算書,サービス活動増減,差額,サービス活動増減差額,1
PL-SO-REV-010,事業活動計算書,サービス活動外増減,収益,借入金利息補助金収益,0
PL-SO-REV-020,事業活動計算書,サービス活動外増減,収益,受取利息配当金収益,0
PL-SO-REV-030,事業活動計算書,サービス活動外増減,収益,社会福祉連携推進業務貸付金受取利息収益,0
PL-SO-REV-040,事業活動計算書,サービス活動外増減,収益,その他のサービス活動外収益,0
PL-SO-REV-T,事業活動計算書,サービス活動外増減,収益,サービス活動外収益計,1
PL-SO-EXP-010,事業活動計算書,サービス活動外増減,費用,支払利息,0
PL-SO-EXP-020,事業活動計算書,サービス活動外増減,費用,社会福祉連携推進業務借入金支払利息,0
PL-SO-EXP-030,事業活動計算書,サービス活動外増減,費用,その他のサービス活動外費用,0
PL-SO-EXP-T,事業活動計算書,サービス活動外増減,費用,サービス活動外費用計,1
PL-SO-NET,事業活動計算書,サービス活動外増減,差額,サービス活動外増減差額,1
PL-KEI-NET,事業活動計算書,サービス活動外増減,差額,経常増減差額,1
PL-T-REV-010,事業活動計算書,特別増減,収益,施設整備等補助金収益,0
PL-T-REV-020,事業活動計算書,特別増減,収益,固定資産受贈額,0
PL-T-REV-030,事業活動計算書,特別増減,収益,固定資産売却益,0
PL-T-REV-035,事業活動計算書,特別増減,収益,事業区分間繰入金収益,0
PL-T-REV-040,事業活動計算書,特別増減,収益,サービス区分間繰入金収益,0
PL-T-REV-045,事業活動計算書,特別増減,収益,事業区分間固定資産移管収益,0
