事業区分コード,法人番号,区分種別,名称,拠点名
SEG-8080105000129-001,8080105000129,法人全体,法人全体,
SEG-8080105000129-002,8080105000129,事業区分,社会福祉事業,
SEG-8080105000129-003,8080105000129,事業区分,公益事業,
SEG-8080105000129-004,8080105000129,事業区分,収益事業,
SEG-8080105000129-005,8080105000129,合計,合計,
SEG-8080105000129-006,8080105000129,内部取引消去,内部取引消去,
SEG-8080105000129-007,8080105000129,事業区分合計,事業区分合計,
SEG-8080105000129-008,8080105000129,拠点,かぬき学園,かぬき学園
SEG-8080105000129-009,8080105000129,拠点,あまぎ学園,あまぎ学園
SEG-8080105000129-010,8080105000129,拠点,ワークスとおがさ,ワークスとおがさ
SEG-8080105000129-011,8080105000129,拠点,ワークスうしぶせ,ワークスうしぶせ
SEG-8080105000129-012,8080105000129,拠点,クリエート太陽,クリエート太陽
SEG-8080105000129-013,8080105000129,拠点,富士見学園,富士見学園
SEG-8080105000129-014,8080105000129,拠点,グループホーム,グループホーム
SEG-8080105000129-015,8080105000129,拠点,総合地域サポートセンターひまわり,総合地域サポートセンターひまわり
SEG-8080105000129-016,8080105000129,拠点,研修センター,研修センター
SEG-8080105000129-017,8080105000129,拠点,歯科診療所,歯科診療所
SEG-8080105000129-018,8080105000129,拠点,訓練校給食業務受託,訓練校給食業務受託
