タイプ,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
segwari,concept,LC-00001,事業区分間貸付金,事業区分間貸付金,BS-A-CUR-100,資産,BS,8080105000129,BS-3-2,0,事業区分間貸付金
segwari,instance,L-8080105000129-0001,事業区分間貸付金,事業区分間貸付金,LC-00001,資産,BS,8080105000129,BS-3-2,0,事業区分間貸付金
segwari,concept,LC-00002,事業区分間借入金,事業区分間借入金,BS-L-CUR-120,負債,BS,8080105000129,BS-3-2,0,事業区分間借入金
segwari,instance,L-8080105000129-0002,事業区分間借入金,事業区分間借入金,LC-00002,負債,BS,8080105000129,BS-3-2,0,事業区分間借入金
segwari3,concept,LC-00001,現金預金,現金預金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-3,0,現金預金
segwari3,instance,L-8080105000129-0001,現金預金,現金預金,LC-00001,資産,BS,8080105000129,BS-3-3,0,現金預金
segwari3,concept,LC-00002,定期預金,定期預金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-3,0,定期預金
segwari3,instance,L-8080105000129-0002,定期預金,定期預金,LC-00002,資産,BS,8080105000129,BS-3-3,0,定期預金
segwari3,concept,LC-00003,事業未収金,事業未収金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-3,0,事業未収金
segwari3,instance,L-8080105000129-0003,事業未収金,事業未収金,LC-00003,資産,BS,8080105000129,BS-3-3,0,事業未収金
segwari3,concept,LC-00004,未収金,未収金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-3,0,未収金
segwari3,instance,L-8080105000129-0004,未収金,未収金,LC-00004,資産,BS,8080105000129,BS-3-3,0,未収金
segwari3,concept,LC-00005,未収補助金,未収補助金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-3,0,未収補助金
segwari3,instance,L-8080105000129-0005,未収補助金,未収補助金,LC-00005,資産,BS,8080105000129,BS-3-3,0,未収補助金
segwari3,concept,LC-00006,立替金,立替金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-3,0,立替金
segwari3,instance,L-8080105000129-0006,立替金,立替金,LC-00006,資産,BS,8080105000129,BS-3-3,0,立替金
segwari3,concept,LC-00007,前払費用,前払費用,BS-A-CUR-T,資産,BS,8080105000129,BS-3-3,0,前払費用
segwari3,instance,L-8080105000129-0007,前払費用,前払費用,LC-00007,資産,BS,8080105000129,BS-3-3,0,前払費用
segwari3,concept,LC-00008,１年以内回収予定社会福祉連携推進業務長期貸付金,1年以内回収予定社会福祉連携推進業務長期貸付金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-3,0,１年以内回収予定社会福祉連携推進業務長期貸付金
segwari3,instance,L-8080105000129-0008,１年以内回収予定社会福祉連携推進業務長期貸付金,1年以内回収予定社会福祉連携推進業務長期貸付金,LC-00008,資産,BS,8080105000129,BS-3-3,0,１年以内回収予定社会福祉連携推進業務長期貸付金
segwari3,concept,LC-00009,社会福祉連携推進業務短期貸付金,社会福祉連携推進業務短期貸付金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-3,0,社会福祉連携推進業務短期貸付金
segwari3,instance,L-8080105000129-0009,社会福祉連携推進業務短期貸付金,社会福祉連携推進業務短期貸付金,LC-00009,資産,BS,8080105000129,BS-3-3,0,社会福祉連携推進業務短期貸付金
segwari3,concept,LC-00010,短期貸付金,短期貸付金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-3,0,短期貸付金
segwari3,instance,L-8080105000129-0010,短期貸付金,短期貸付金,LC-00010,資産,BS,8080105000129,BS-3-3,0,短期貸付金
segwari3,concept,LC-00011,事業区分間貸付金,事業区分間貸付金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-3,0,事業区分間貸付金
segwari3,instance,L-8080105000129-0011,事業区分間貸付金,事業区分間貸付金,LC-00011,資産,BS,8080105000129,BS-3-3,0,事業区分間貸付金
segwari3,concept,LC-00012,拠点区分間貸付金,拠点区分間貸付金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-3,0,拠点区分間貸付金
segwari3,instance,L-8080105000129-0012,拠点区分間貸付金,拠点区分間貸付金,LC-00012,資産,BS,8080105000129,BS-3-3,0,拠点区分間貸付金
segwari3,concept,LC-00013,仮払金,仮払金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-3,0,仮払金
segwari3,instance,L-8080105000129-0013,仮払金,仮払金,LC-00013,資産,BS,8080105000129,BS-3-3,0,仮払金
segwari3,concept,LC-00014,その他の流動資産,その他の流動資産,BS-A-CUR-T,資産,BS,8080105000129,BS-3-3,0,その他の流動資産
segwari3,instance,L-8080105000129-0014,その他の流動資産,その他の流動資産,LC-00014,資産,BS,8080105000129,BS-3-3,0,その他の流動資産
segwari3,concept,LC-00015,貸倒引当金,貸倒引当金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-3,0,貸倒引当金
segwari3,instance,L-8080105000129-0015,貸倒引当金,貸倒引当金,LC-00015,資産,BS,8080105000129,BS-3-3,0,貸倒引当金
segwari3,concept,LC-00016,土地,土地,BS-A-FIX-BASE-T,資産,BS,8080105000129,BS-3-3,0,土地
segwari3,instance,L-8080105000129-0016,土地,土地,LC-00016,資産,BS,8080105000129,BS-3-3,0,土地
segwari3,concept,LC-00017,建物,建物,BS-A-FIX-BASE-T,資産,BS,8080105000129,BS-3-3,0,建物
segwari3,instance,L-8080105000129-0017,建物,建物,LC-00017,資産,BS,8080105000129,BS-3-3,0,建物
segwari3,concept,LC-00018,定期預金,定期預金,BS-A-FIX-BASE-T,資産,BS,8080105000129,BS-3-3,0,定期預金
segwari3,instance,L-8080105000129-0018,定期預金,定期預金,LC-00018,資産,BS,8080105000129,BS-3-3,0,定期預金
segwari3,concept,LC-00019,車輛購入積立資産,車輛購入積立資産,BS-A-FIX-OTH-210,資産,BS,8080105000129,BS-3-3,0,車輛購入積立資産
segwari3,instance,L-8080105000129-0019,車輛購入積立資産,車輛購入積立資産,LC-00019,資産,BS,8080105000129,BS-3-3,0,車輛購入積立資産
segwari3,concept,LC-00020,工賃変動積立資産,工賃変動積立資産,BS-A-FIX-OTH-210,資産,BS,8080105000129,BS-3-3,0,工賃変動積立資産
segwari3,instance,L-8080105000129-0020,工賃変動積立資産,工賃変動積立資産,LC-00020,資産,BS,8080105000129,BS-3-3,0,工賃変動積立資産
