code,L0コード,L0科目,L1コード,L1科目,L2コード,L2科目,L3コード,L3科目,L4コード,L4科目,L5コード,L5科目,表示レベル,is_leaf,is_total,頻出追加科目,合算定義
CF-00-00-000-000-000,CF,資金収支計算書,00,,00,,000,,000,,000,,1,0,0,0,
CF-01-00-000-000-000,CF,資金収支計算書,01,事業活動による収支,00,,000,,000,,000,,2,0,1,0,"[{""sign"": ""+"", ""code"": ""CF-01-01-000-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-02-000-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-03-000-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-04-000-000-000""}]"
CF-01-01-000-000-000,CF,資金収支計算書,01,事業活動による収支,01,収入,000,,000,,000,,3,0,1,0,"[{""sign"": ""+"", ""code"": ""CF-01-01-001-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-002-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-003-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-004-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-005-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-006-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-007-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-024-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-008-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-009-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-010-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-011-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-012-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-013-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-014-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-015-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-016-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-017-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-018-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-019-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-020-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-021-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-025-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-022-000-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-023-000-000""}]"
CF-01-01-001-000-000,CF,資金収支計算書,01,事業活動による収支,01,収入,001,会費収入,000,,000,,4,0,1,0,"[{""sign"": ""+"", ""code"": ""CF-01-01-001-001-000""}]"
CF-01-01-001-001-000,CF,資金収支計算書,01,事業活動による収支,01,収入,001,会費収入,001,（何）会費収入,000,,5,0,0,0,
CF-01-01-002-000-000,CF,資金収支計算書,01,事業活動による収支,01,収入,002,分担金収入,000,,000,,4,0,1,0,"[{""sign"": ""+"", ""code"": ""CF-01-01-002-001-000""}]"
CF-01-01-002-001-000,CF,資金収支計算書,01,事業活動による収支,01,収入,002,分担金収入,001,分担金収入,000,,5,0,0,0,
CF-01-01-003-000-000,CF,資金収支計算書,01,事業活動による収支,01,収入,003,寄附金収入,000,,000,,4,0,1,0,"[{""sign"": ""+"", ""code"": ""CF-01-01-003-001-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-003-002-000""}]"
CF-01-01-003-001-000,CF,資金収支計算書,01,事業活動による収支,01,収入,003,寄附金収入,001,寄附金収入,000,,5,0,0,0,
CF-01-01-003-002-000,CF,資金収支計算書,01,事業活動による収支,01,収入,003,寄附金収入,002,経常経費寄附金収入,000,,5,0,0,0,
CF-01-01-004-000-000,CF,資金収支計算書,01,事業活動による収支,01,収入,004,経常経費補助金収入,000,,000,,4,0,1,0,"[{""sign"": ""+"", ""code"": ""CF-01-01-004-001-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-004-002-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-004-003-000""}, {""sign"": ""+"", ""code"": ""CF-01-01-004-004-000""}]"
CF-01-01-004-001-000,CF,資金収支計算書,01,事業活動による収支,01,収入,004,経常経費補助金収入,001,都道府県補助金収入,000,,5,0,1,0,"[{""sign"": ""+"", ""code"": ""CF-01-01-004-001-001""}]"
CF-01-01-004-001-001,CF,資金収支計算書,01,事業活動による収支,01,収入,004,経常経費補助金収入,001,都道府県補助金収入,001,（何）補助金収入,6,0,0,0,
CF-01-01-004-002-000,CF,資金収支計算書,01,事業活動による収支,01,収入,004,経常経費補助金収入,002,市区町村補助金収入,000,,5,0,1,0,"[{""sign"": ""+"", ""code"": ""CF-01-01-004-002-001""}]"
